amino,fold
C,1
P,3
P,-1
C,-2
H,-3
P,-1
P,2
C,2
H,2
P,1
P,-3
C,2
P,1
P,-3
H,-3
H,-1
H,-2
H,1
H,3
H,3
C,3
C,2
P,1
C,-3
H,1
P,-2
P,-1
C,-2
P,-1
C,-3
H,-1
P,2
P,-1
H,2
P,1
C,0
score,-31
